Index,DateStart,DateEnd,DateSet,Course,Center,Teachers
Canda5,2027/10/25,2027/11/05,25-10-2027 - 5-11-2027,10D,Canda,U Myo Myint Thein - Daw Soe Phint
Magga1,2027/01/08,2027/01/19,8-01-2027 - 19-01-2027,10D,Magga,U San Win Daw Ti Tin Ye
Magga2,2027/02/21,2027/03/04,21-02-2027 - 4-03-2027,10D,Magga,U Sai Hsai Leng - Daw Mi Mi Myaing
Magga3,2027/03/12,2027/03/23,12-03-2027 - 23-03-2027,10D,Magga,Dr Tin Mg Yin Daw Swe Swe Win
Magga4,2027/04/09,2027/04/20,9-04-2027 - 20-04-2027,10D,Magga,Dr Myo Aung Daw Khin Than Hme
Magga5,2027/05/07,2027/05/18,7-05-2027 - 18-05-2027,10D,Magga,U Mg Mg Lwin - Daw Ye Ye 1
Magga6,2027/07/09,2027/07/20,9-07-2027 - 20-07-2027,10D,Magga,U Soe Min Aye - Daw Khin Htwe
Magga7,2027/08/06,2027/08/17,6-08-2027 - 17-08-2027,10D,Magga,U Thet Tin Sein - Daw Hla Myint
Magga8,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,Magga,U San Lwin Daw Tin Tin Naing
Magga9,2027/10/13,2027/10/24,13-10-2027 - 24-10-2027,10D,Magga,U Kyaw Thu  Daw Kyi Kyi Tun
Magga10,2027/11/19,2027/11/30,19-11-2027 - 30-11-2027,10D,Magga,U Khin Mg Soe - Daw Hla Hla Myint
Magga11,2027/12/10,2027/12/21,10-12-2027 - 21-12-2027,10D,Magga,U Aung Kyaw Oo - Daw Nan Cho Cho
Joti1,2027/01/01,2027/01/04,1-01-2027 - 4-01-2027,3D,Joti,U Hlaing - Daw Yin Hla
Joti2,2027/01/08,2027/01/19,8-01-2027 - 19-01-2027,10D,Joti,U Khin Maung Win - Daw Tin Tin Mya
Joti3,2027/01/22,2027/01/30,22-01-2027 - 30-01-2027,STP,Joti,U Win Myint - Daw Aye Myint- Daw Yin Hla
Joti4,2027/02/02,2027/02/17,2-02-2027 - 17-02-2027,GC,Joti,U Tin Maung - Dr Nyunt Nyunt Sein
Joti5,2027/02/25,2027/03/08,25-02-2027 - 8-03-2027,10D,Joti,U Hlaing - Daw Hla Hla Myint
Joti6,2027/03/11,2027/03/22,11-03-2027 - 22-03-2027,10D,Joti,U Kyaw Thu  Daw Kyi Kyi Tun
Joti7,2027/03/29,2027/04/06,29-03-2027 - 6-04-2027,TeenBoys,Joti,U Aung Myat Cho  U Tin Lu WIn
Joti8,2027/04/09,2027/04/20,9-04-2027 - 20-04-2027,10D,Joti,U Mg Mg Lwin - Daw Yema Maw Naing
Joti9,2027/04/23,2027/05/01,23-04-2027 - 1-05-2027,TeenGirls,Joti,Daw Mya San Daw Ohn Ye               
Joti10,2027/05/06,2027/05/17,6-05-2027 - 17-05-2027,10D,Joti,U San Lwin Daw Tin Tin Naing           
Joti11,2027/05/27,2027/06/07,27-05-2027 - 7-06-2027,10D,Joti,U Thet Tin Sein - Dr Khin Aye Kyaing
Joti12,2027/06/10,2027/06/13,10-06-2027 - 13-06-2027,3D,Joti,U Mg Mg Lwin - Daw Aye Myint 
Joti13,2027/07/01,2027/07/12,1-07-2027 - 12-07-2027,10D,Joti,Dr Myo Aung Daw Khin Hme 
Joti14,2027/07/15,2027/07/18,15-07-2027 - 18-07-2027,3D,Joti,U San Lwin Daw Tin Tin Naing
Joti15,2027/07/22,2027/08/02,22-07-2027 - 2-08-2027,10D,Joti,U Win Myint - Daw Hla Myint
Joti16,2027/08/05,2027/08/16,5-08-2027 - 16-08-2027,10D,Joti,U Aung Myat Cho - Daw Tin Tin Mya
Joti17,2027/08/20,2027/08/31,20-08-2027 - 31-08-2027,10D,Joti,Dr Myo Aung Daw Khin Than Hme      
Joti18,2027/09/03,2027/09/14,3-09-2027 - 14-09-2027,10D,Joti,U Aung Kyaw Nyan Wai- Daw Yema Maw Naing
Joti19,2027/09/23,2027/10/04,23-09-2027 - 4-10-2027,10D,Joti,U Tin Maung - Dr Nyunt Nyunt Sein
Joti20,2027/10/08,2027/10/16,8-10-2027 - 16-10-2027,STP,Joti,U Mg Mg Lwin - Daw Mya San
Joti21,2027/10/21,2027/11/01,21-10-2027 - 1-11-2027,10D,Joti,U Aung Kyaw Oo - Daw Yema Maw Naing      
Joti22,2027/11/04,2027/11/15,4-11-2027 - 15-11-2027,10D,Joti,U San Lwin Daw Tin Tin Naing
Joti23,2027/11/25,2027/12/06,25-11-2027 - 6-12-2027,10D,Joti,U Sein Tun - Dr Nyunt Nyunt Sein
Joti24,2027/12/16,2027/12/27,16-12-2027 - 27-12-2027,10D,Joti,U Hlaing - Daw Nan Kham Phone
Nidhi1,2027/01/05,2027/02/20,5-01-2027 - 20-02-2027,45D,Nidhi,U San Lwin Daw Tin Tin Naing
Nidhi2,2027/03/01,2027/03/22,1-03-2027 - 22-03-2027,20D,Nidhi,U Myo Myint Thein - Daw Yin Hla
Nidhi3,2027/03/27,2027/04/07,27-03-2027 - 7-04-2027,10D,Nidhi,U Hlaing - Daw Nan Kham Phone
Nidhi4,2027/04/09,2027/04/20,9-04-2027 - 20-4-2027,10D,Nidhi,U San Win Daw Tin Tin Ye
Nidhi5,2027/04/29,2027/05/07,29-04-2027 - 7-05-2027,STP,Nidhi,U Than Htay - Daw Mi Mi Myaing
Nidhi6,2027/05/13,2027/05/24,13-05-2027 - 24-05-2027,10D,Nidhi,U Khin Mg Win - Daw Hla Myint
Nidhi7,2027/06/01,2027/07/02,1-06-2027 - 2-07-2027,30D,Nidhi,U Kyaw Thu  Daw Kyi Kyi Tun
Nidhi8,2027/07/12,2027/07/23,12-7-2027 - 23-07-2027,S10D,Nidhi,U Aung Myat Cho - Daw Yema Maw Naing
Nidhi9,2027/07/29,2027/08/09,29-07-2027 - 9-08-2027,10D,Nidhi,U San Lwin  Daw Tin Tin Naing
Nidhi10,2027/08/12,2027/08/20,12-08-2027 - 20-08-2027,STP,Nidhi,U Aung Kyaw Nyan Wai - Dr Nyunt Nyunt Sein
Nidhi11,2027/08/25,2027/09/05,25-08-2027 - 5-09-2027,10D,Nidhi,U Soe Oo - Daw Than Than Nwe
Nidhi12,2027/09/11,2027/09/22,11-9-2027 - 22-9-2027,10D,Nidhi,U Chandra Kuamar - Daw Hla Hla Myint
Nidhi13,2027/09/26,2027/11/11,26-09-2027 - 11-11-2027,45D,Nidhi,Dr Myo Aung Daw Khin Than Hme
Nidhi14,2027/11/14,2027/11/25,14-11-2027 - 25-11-2027,10D,Nidhi,U Kyaw Mya - Daw Tin Tin Aye
Nidhi15,2027/11/30,2027/12/31,30-11-2027 - 31-12-2027,30D,Nidhi,Dr Tin Mg Yin  Daw Swe Swe Win
Nanadha1,2027/01/08,2027/01/19,8-01-2027 - 19-01-2027,10D,Nanadhaja,U Soe Min Aye - Daw Kay Thi
Nanadha2,2027/02/23,2027/03/06,23-02-2027 - 6-03-2027,10D,Nanadhaja,"U Tun Tun Khaing - Daw ,Nwe,Nwe Aye"
Nanadha3,2027/04/09,2027/04/20,9-04-2027 - 20-04-2027,10D,Nanadhaja,U Tint Lwin - Daw Win Win Myint
Nanadha4,2027/07/06,2027/07/17,6-07-2027 - 17-07-2027,10D,Nanadhaja,"U Kyi Ohn - Daw ,Nwe,Nwe Aye"
Nanadha5,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,Nanadhaja,U Than Htay - Daw Kay Thi
Nanadha6,2027/10/14,2027/10/17,14-10-2027 - 17-10-2027,3D,Nanadhaja,U Tint Lwin - Daw Kay Thi
Nanadha7,2027/11/12,2027/11/23,12-11-2027 - 23-11-2027,10D,Nanadhaja,U Sein Win - Daw Win Win Myint
Nanadha8,2027/12/18,2027/12/26,18-12-2027 - 26-12-2027,STP,Nanadhaja,U Soe Min Aye - Daw Kay Thi
NC_Ahtaung,2027/04/09,2027/04/20,9-04-2027 - 20-04-2027,10D,NC_Ahtaung,U Win Myint - Daw Nyo Nyo Win
